circuit_hash,energy_error_per_edge,exact_tvd,graph_family,logical_id,marginal_mae,n_qubits,neural_total_ms_65536,p,zz_mae
ccc02d351b905f3ed865657ff6ecc3d6fb5e83d872788bcac175b2484bd5219e,0.021286575123667717,,random_3_regular,m3:random_3_regular:n18:p1:g92000:a3,0.0062086316756904125,18,378.342626,1,0.04633698612451553
c964394520358f4d8ae8ac21c5b58c8a86d519530c5897813523f6ed43a2070b,0.013454861007630825,,random_3_regular,m3:random_3_regular:n18:p1:g92000:a5,0.00452507846057415,18,375.05954199999996,1,0.03550437465310097
9017dd77c8d46e4ae0833ebeb540661b56cf6bd71a592e4e99b9642f03d813f6,0.002566867507994175,,random_3_regular,m3:random_3_regular:n18:p1:g92000:a7,0.003658718429505825,18,374.967582,1,0.01514350064098835
276e24423407a305779ff9dd618c1f3c5d81220003b86186bde12e06c55aa487,0.0084092877805233,,random_3_regular,m3:random_3_regular:n18:p1:g92000:a11,0.0030229357071220875,18,376.190292,1,0.0168185755610466
4bc03927d0b15a2eb01191f1460b5fae74191f39a02ed9c1c7c4ffde921e895d,0.019918935373425484,,random_3_regular,m3:random_3_regular:n18:p1:g92001:a3,0.009228176437318325,18,369.910043,1,0.04578766971826553
2daede2f456e1c1c8b223cde7f10f0688a0d4d3fc1b96e042bca0f52b703b424,0.0029246013145893812,,random_3_regular,m3:random_3_regular:n18:p1:g92001:a5,0.004298740066587925,18,378.897793,1,0.035614013671875
9a638d801e7a5290c1e873bd204d3c35bd10e113b41ac9379d398a3be7fb917f,0.004396792035549879,,random_3_regular,m3:random_3_regular:n18:p1:g92001:a7,0.00441826693713665,18,375.590999,1,0.029145417734980583
77ff497eace1943ba818963769c07380b0fbee95272fb796825cf9d42b34308a,0.010417796671390533,,random_3_regular,m3:random_3_regular:n18:p1:g92001:a11,0.0026499431114643812,18,376.509126,1,0.020835593342781067
41076bb4c1f9a282589d613215cf708b44bbfc88aae53255469d6ea623d1900e,0.013445253483951092,,random_3_regular,m3:random_3_regular:n18:p2:g92000:a3,0.0031882391776889563,18,377.256918,2,0.0322638601064682
8c80b6307f8a958b9cfe577662b9f869352c222e80aeb5ca5df5c4d9d9ef6b9c,0.0351918525993824,,random_3_regular,m3:random_3_regular:n18:p2:g92000:a5,0.00443267822265625,18,374.388875,2,0.07942595332860947
