circuit_hash,energy_error_per_edge,exact_tvd,graph_family,logical_id,marginal_mae,n_qubits,neural_total_ms_65536,p,zz_mae
6696d066cd29c4631c5a94fc7c95fa95dd7db15c476a3ef3c9d3b8ca673436b2,0.0987158864736557,,random_3_regular,m3:random_3_regular:n24:p1:g92000:a5,0.0036366779822856188,24,139.969292,1,0.1974317729473114
4857f67717e449b6fb04f36b8a359d77f254fe3aa216183edd502a70f3aed177,0.0934363454580307,,random_3_regular,m3:random_3_regular:n24:p1:g92000:a7,0.00238800048828125,24,138.603,1,0.1868726909160614
a010f8185984c31d30ca4b373cf1692a8f2cd9935ea68e1b71adbcd8a97eaac4,4.1961669921875e-05,,random_3_regular,m3:random_3_regular:n24:p1:g92000:a11,0.0049762725830078125,24,138.355749,1,0.013476054184138775
149119447eccdadb14eb5d1f39a08f7b87499e7c9e3bfb57b8d0bda4d5237dca,0.12725618481636047,,random_3_regular,m3:random_3_regular:n24:p1:g92001:a3,0.0052051544189453125,24,138.518165,1,0.25451236963272095
4b96e508a57c432c6d356753aacb90683d67d9c255039e242b1bed0c1f6c9c1b,0.08612314611673355,,random_3_regular,m3:random_3_regular:n24:p1:g92001:a5,0.00344085693359375,24,138.85970700000001,1,0.1722462922334671
0ca1c9fb1de35030ba8dc93f39075d894d952334a31644e664952dba2c1bb891,0.08651944994926453,,random_3_regular,m3:random_3_regular:n24:p1:g92001:a7,0.0026874542236328125,24,139.243708,1,0.17303889989852905
64c3e0a93c19f8b3d627357227e327985548a5d3c09c35e2cba77126d324692f,0.0021116468124091625,,random_3_regular,m3:random_3_regular:n24:p1:g92001:a11,0.006305694580078125,24,138.876667,1,0.0196363665163517
ef691a2f7b67bd3e1b844615eeae4b8832ef85268c7f0a301cfa34d701a61f0b,0.015822939574718475,,random_3_regular,m3:random_3_regular:n24:p2:g92000:a3,0.004089991096407175,24,142.589833,2,0.03576575219631195
eed6cdf23bc7ad3f2ddc2b3c78bbcd653bb2afde63d52746ec59042dc869e593,0.1419355571269989,,random_3_regular,m3:random_3_regular:n24:p2:g92000:a5,0.0030377705115824938,24,138.805292,2,0.2838711142539978
fcaea6515b7f0d1b8301644e62a0a6c258f0db0b607bf2de4b3bdb15d21aa64b,0.1872151643037796,,random_3_regular,m3:random_3_regular:n24:p2:g92000:a7,0.0020968120079487562,24,138.373961,2,0.3744303286075592
626311275caddca6e5f08b0b0527702c6d56b40660a643eb4e4dc8b6c9b8eb8f,0.013454861007630825,,random_3_regular,m3:random_3_regular:n24:p2:g92000:a11,0.0049158730544149876,24,138.934209,2,0.02706230990588665
0b073ef9a44bcb8cb9d17305ee145110f99db08a3aa424407e818bf99d6fd13c,0.012438032776117325,,random_3_regular,m3:random_3_regular:n24:p2:g92001:a3,0.0035050709266215563,24,138.781625,2,0.03452131524682045
18c12b12afd67bc65b055e7dd0992be734857dcf31d449700dbbe9354da74f06,0.12886980175971985,,random_3_regular,m3:random_3_regular:n24:p2:g92001:a5,0.0024159748572856188,24,139.727751,2,0.2577396035194397
b5dd1b14995da3e5da1ef31ef1bf875dad715475f5cd5acb1b211ceb6adf0a70,0.18013763427734375,,random_3_regular,m3:random_3_regular:n24:p2:g92001:a7,0.002330780029296875,24,139.709,2,0.3602752685546875
2137b0153e4436a55b2a623e67513f169fe8eacf9f2acfb92ebcf7e9eecc43cb,0.018577151000499725,,random_3_regular,m3:random_3_regular:n24:p2:g92001:a11,0.00456555699929595,24,139.087209,2,0.03897009789943695
e8099cce21cab7381b47dfab7e8f60fe9d1765e07fdbee1bf3a01cb9ce4d2df9,0.036298539489507675,,random_3_regular,m3:random_3_regular:n24:p3:g92000:a3,0.0030066173058003187,24,138.232625,3,0.07303789258003235
b02db5f266ae2930cea0ba7fc2ea1b521c813f5f54f29815062a84068d8bcc74,0.15505896508693695,,random_3_regular,m3:random_3_regular:n24:p3:g92000:a5,0.002902984619140625,24,139.181999,3,0.3101179301738739
679f9a2f0eca5c9bdb00675776ec789a6141e7e08ed16a62e4de74460b68bb73,0.10216183215379715,,random_3_regular,m3:random_3_regular:n24:p3:g92000:a7,0.002048492431640625,24,138.873791,3,0.2043236643075943
88cf8c17957514a617fc32fada495a9742fd059dbe7243e842f0da739a0d8294,0.03064982034265995,,random_3_regular,m3:random_3_regular:n24:p3:g92000:a11,0.004436492919921875,24,139.350333,3,0.0612996406853199
