backend,batch_size,circuits_per_second,execute_ms_count,execute_ms_maximum,execute_ms_mean,execute_ms_median,execute_ms_minimum,execute_ms_p10,execute_ms_p90,execute_ms_std,graph_family,incremental_peak_rss_bytes_count,incremental_peak_rss_bytes_maximum,incremental_peak_rss_bytes_mean,incremental_peak_rss_bytes_median,incremental_peak_rss_bytes_minimum,incremental_peak_rss_bytes_p10,incremental_peak_rss_bytes_p90,incremental_peak_rss_bytes_std,n_qubits,p,peak_rss_bytes_count,peak_rss_bytes_maximum,peak_rss_bytes_mean,peak_rss_bytes_median,peak_rss_bytes_minimum,peak_rss_bytes_p10,peak_rss_bytes_p90,peak_rss_bytes_std,sample_count,shots,timing_mode,total_ms_count,total_ms_maximum,total_ms_mean,total_ms_median,total_ms_minimum,total_ms_p10,total_ms_p90,total_ms_std,transpile_ms_count,transpile_ms_maximum,transpile_ms_mean,transpile_ms_median,transpile_ms_minimum,transpile_ms_p10,transpile_ms_p90,transpile_ms_std
matrix_product_state,1,21.314188758476963,10,35.377875,26.5360752,34.9509165,6.436875,6.509250300000001,35.362500299999994,13.831847021911736,cycle,10,32768.0,18022.4,16384.0,0.0,0.0,32768.0,12089.176676313036,6,1,10,338886656.0,338803097.6,338804736.0,338739200.0,338739200.0,338857164.8,49121.64988904812,10,4096,warm_single,10,47.750083999999994,38.7601502,46.917103499999996,18.620041,18.661367199999997,47.7168956,13.782099356233713,10,12.476708,12.130087499999998,12.1862085,11.837542,11.8514542,12.3307955,0.2231419356215781
matrix_product_state,1,20.89580329626909,10,39.377375,28.335724900000002,35.571957999999995,6.614875,6.6534625,39.3534494,15.057344103531918,cycle,10,49152.0,21299.2,24576.0,0.0,0.0,49152.0,20507.288486454436,6,2,10,338870272.0,338783436.8,338771968.0,338706432.0,338706432.0,338840780.8,56782.110635109166,10,4096,warm_single,10,51.931540999999996,40.6211414,47.8564995,18.651292,19.0921417,51.7035413,15.015704721791197,10,12.447042,12.161933500000002,12.203875,11.868584,11.8964831,12.4277298,0.21104729548676485
matrix_product_state,1,52.39202194198836,10,39.778625,19.805208299999997,6.7251460000000005,6.553375,6.6110875,39.627237799999996,16.98120144025882,cycle,10,65536.0,32768.0,40960.0,0.0,0.0,50790.399999999994,23170.47500592079,6,3,10,338935808.0,338788352.0,338788352.0,338624512.0,338668748.8,338891571.2,93323.30490885495,10,4096,warm_single,10,52.081790999999996,32.051683399999995,19.086875499999998,18.688042,18.868231,52.056816899999994,16.93260684980062,10,12.330625,12.1149709,12.166458500000001,11.859583,11.886508300000001,12.312512499999999,0.17768300261636333
matrix_product_state,1,16.352823148526618,10,50.101209,36.907262599999996,48.760208,8.086459,8.2040584,49.5779337,19.816630660729476,cycle,10,65536.0,22937.6,16384.0,0.0,0.0,50790.399999999994,22116.714339059396,8,1,10,338788352.0,338673664.0,338673664.0,338558976.0,338573721.6,338758860.8,75674.45448322262,10,4096,warm_single,10,62.463292,49.278942,61.1515205,20.531751000000003,20.681186999999998,62.2179682,19.755386395913792,10,12.424709,12.156433400000001,12.199167,11.875708,11.886620500000001,12.2689334,0.16490857115464522
matrix_product_state,1,12.203024823557838,10,69.728667,50.996296099999995,69.125771,8.34075,8.3456253,69.3861045,29.40539763230944,cycle,10,49152.0,24576.0,24576.0,0.0,0.0,49152.0,20796.137761079044,8,2,10,338919424.0,338796544.0,338788352.0,338673664.0,338717900.8,338889932.8,78859.08147237494,10,4096,warm_single,10,82.581833,63.783979,81.9468955,21.017042,21.2361542,82.1498699,29.370916942945044,10,12.675958,12.5399414,12.6061455,12.282375,12.312374700000001,12.6659833,0.14536206790799586
matrix_product_state,1,16.203975514140193,10,70.225458,45.0672,49.2918545,8.242541,8.4052169,70.1689461,26.85013742751195,cycle,10,98304.0,26214.4,16384.0,0.0,0.0,54067.19999999998,29104.346659715433,8,3,10,339050496.0,338922700.8,338952192.0,338788352.0,338803097.6,339035750.4,100938.67872767549,10,4096,warm_single,10,82.97479299999999,57.614446,61.7132505,20.7725,21.034849100000002,82.7042287,26.809874601288566,10,12.580292,12.2826583,12.243833500000001,12.129208,12.144395500000002,12.557191699999999,0.15837468439400268
matrix_product_state,1,13.39100392356415,10,67.72375,47.32640850000001,62.0164795,9.74625,10.023900000000001,64.19488779999999,25.48725390294476,cycle,10,49152.0,27852.8,32768.0,0.0,0.0,49152.0,20507.288486454436,10,1,10,339099648.0,338953830.4,338952192.0,338821120.0,338865356.8,339070156.8,90219.50758652785,10,4096,warm_single,10,80.65375,60.15412099999999,74.677,22.451501,22.9043873,76.6208878,25.462146003209646,10,12.575417,12.22785,12.200604,11.963708,11.987108000000001,12.524679500000001,0.21444007124965128
matrix_product_state,1,8.143296182272506,10,110.623042,80.35360820000001,110.187708,10.316625,10.374711900000001,110.563642,48.28375924697906,cycle,10,65536.0,27852.8,32768.0,0.0,0.0,50790.399999999994,20507.288486454436,10,2,10,339918848.0,339758284.8,339746816.0,339640320.0,339640320.0,339889356.8,101233.73541880416,10,4096,warm_single,10,123.71162499999998,93.23443739999999,122.8003965,23.290999,23.607161800000004,123.45422589999998,48.078279829013205,10,12.537417,12.333400000000001,12.432,12.075209,12.0938453,12.5290542,0.1981033366396885
matrix_product_state,1,7.982215655448523,10,150.405375,96.647425,112.472354,10.764458,10.8368711,149.620575,61.393289655524036,cycle,10,65536.0,32768.0,32768.0,0.0,0.0,65536.0,23170.47500592079,10,3,10,339722240.0,339553484.8,339558400.0,339394560.0,339424051.2,339692748.8,113524.81889075084,10,4096,warm_single,10,163.20991700000002,109.5210458,125.27849950000001,23.796292,24.0254923,162.3610289,61.22482879182686,10,12.474542,12.129250199999998,12.064271,11.991458,12.0262214,12.3097295,0.1493282344537249
matrix_product_state,1,11.329353418335849,10,76.095875,56.545320600000004,75.5273955,11.865458,11.9788202,75.8487125,30.742093596347953,cycle,10,65536.0,36044.8,32768.0,16384.0,16384.0,50790.399999999994,15055.856983616413,12,1,10,339755008.0,339579699.2,339558400.0,339427328.0,339442073.6,339725516.8,114830.94583759013,10,4096,warm_single,10,88.93925000000002,69.6478452,88.2662905,25.647291000000003,25.870228200000003,88.49487590000001,30.21672873740898,10,12.381333,12.045220699999998,11.9822495,11.904667,11.9269789,12.253758,0.15458936709306131
