best_classical_backend,graph_family,memory_lower_than_classical,n_qubits,neural_latency_budget_ms,neural_peak_memory_budget_mib,p,shots,speedup,speedup_ge_10x,speedup_ge_2x,speedup_ge_5x
matrix_product_state,cycle,False,6,100,512,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,False,6,100,1024,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,False,6,100,2048,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,False,6,100,4096,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,True,6,250,256,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,512,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,1024,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,2048,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,4096,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,True,6,500,256,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,512,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,1024,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,2048,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,4096,3,4096,0.038173751,False,False,False
statevector,cycle,True,8,10,256,1,4096,2.1616457500000004,False,True,False
statevector,cycle,False,8,10,512,1,4096,2.1616457500000004,False,True,False
statevector,cycle,False,8,10,1024,1,4096,2.1616457500000004,False,True,False
statevector,cycle,False,8,10,2048,1,4096,2.1616457500000004,False,True,False
statevector,cycle,False,8,10,4096,1,4096,2.1616457500000004,False,True,False
statevector,cycle,True,8,25,256,1,4096,0.8646583000000001,False,False,False
statevector,cycle,False,8,25,512,1,4096,0.8646583000000001,False,False,False
statevector,cycle,False,8,25,1024,1,4096,0.8646583000000001,False,False,False
statevector,cycle,False,8,25,2048,1,4096,0.8646583000000001,False,False,False
statevector,cycle,False,8,25,4096,1,4096,0.8646583000000001,False,False,False
statevector,cycle,True,8,50,256,1,4096,0.43232915000000005,False,False,False
statevector,cycle,False,8,50,512,1,4096,0.43232915000000005,False,False,False
statevector,cycle,False,8,50,1024,1,4096,0.43232915000000005,False,False,False
statevector,cycle,False,8,50,2048,1,4096,0.43232915000000005,False,False,False
statevector,cycle,False,8,50,4096,1,4096,0.43232915000000005,False,False,False
statevector,cycle,True,8,100,256,1,4096,0.21616457500000003,False,False,False
statevector,cycle,False,8,100,512,1,4096,0.21616457500000003,False,False,False
statevector,cycle,False,8,100,1024,1,4096,0.21616457500000003,False,False,False
statevector,cycle,False,8,100,2048,1,4096,0.21616457500000003,False,False,False
statevector,cycle,False,8,100,4096,1,4096,0.21616457500000003,False,False,False
statevector,cycle,True,8,250,256,1,4096,0.08646583000000001,False,False,False
statevector,cycle,False,8,250,512,1,4096,0.08646583000000001,False,False,False
statevector,cycle,False,8,250,1024,1,4096,0.08646583000000001,False,False,False
statevector,cycle,False,8,250,2048,1,4096,0.08646583000000001,False,False,False
statevector,cycle,False,8,250,4096,1,4096,0.08646583000000001,False,False,False
statevector,cycle,True,8,500,256,1,4096,0.043232915000000004,False,False,False
statevector,cycle,False,8,500,512,1,4096,0.043232915000000004,False,False,False
statevector,cycle,False,8,500,1024,1,4096,0.043232915000000004,False,False,False
statevector,cycle,False,8,500,2048,1,4096,0.043232915000000004,False,False,False
statevector,cycle,False,8,500,4096,1,4096,0.043232915000000004,False,False,False
statevector,cycle,True,8,10,256,2,4096,2.22029375,False,True,False
statevector,cycle,False,8,10,512,2,4096,2.22029375,False,True,False
statevector,cycle,False,8,10,1024,2,4096,2.22029375,False,True,False
statevector,cycle,False,8,10,2048,2,4096,2.22029375,False,True,False
statevector,cycle,False,8,10,4096,2,4096,2.22029375,False,True,False
statevector,cycle,True,8,25,256,2,4096,0.8881175,False,False,False
statevector,cycle,False,8,25,512,2,4096,0.8881175,False,False,False
statevector,cycle,False,8,25,1024,2,4096,0.8881175,False,False,False
statevector,cycle,False,8,25,2048,2,4096,0.8881175,False,False,False
statevector,cycle,False,8,25,4096,2,4096,0.8881175,False,False,False
statevector,cycle,True,8,50,256,2,4096,0.44405875,False,False,False
statevector,cycle,False,8,50,512,2,4096,0.44405875,False,False,False
statevector,cycle,False,8,50,1024,2,4096,0.44405875,False,False,False
statevector,cycle,False,8,50,2048,2,4096,0.44405875,False,False,False
statevector,cycle,False,8,50,4096,2,4096,0.44405875,False,False,False
statevector,cycle,True,8,100,256,2,4096,0.222029375,False,False,False
statevector,cycle,False,8,100,512,2,4096,0.222029375,False,False,False
statevector,cycle,False,8,100,1024,2,4096,0.222029375,False,False,False
statevector,cycle,False,8,100,2048,2,4096,0.222029375,False,False,False
statevector,cycle,False,8,100,4096,2,4096,0.222029375,False,False,False
statevector,cycle,True,8,250,256,2,4096,0.08881175000000001,False,False,False
statevector,cycle,False,8,250,512,2,4096,0.08881175000000001,False,False,False
statevector,cycle,False,8,250,1024,2,4096,0.08881175000000001,False,False,False
statevector,cycle,False,8,250,2048,2,4096,0.08881175000000001,False,False,False
statevector,cycle,False,8,250,4096,2,4096,0.08881175000000001,False,False,False
statevector,cycle,True,8,500,256,2,4096,0.044405875000000004,False,False,False
statevector,cycle,False,8,500,512,2,4096,0.044405875000000004,False,False,False
statevector,cycle,False,8,500,1024,2,4096,0.044405875000000004,False,False,False
statevector,cycle,False,8,500,2048,2,4096,0.044405875000000004,False,False,False
statevector,cycle,False,8,500,4096,2,4096,0.044405875000000004,False,False,False
statevector,cycle,True,8,10,256,3,4096,2.26573125,False,True,False
statevector,cycle,False,8,10,512,3,4096,2.26573125,False,True,False
statevector,cycle,False,8,10,1024,3,4096,2.26573125,False,True,False
statevector,cycle,False,8,10,2048,3,4096,2.26573125,False,True,False
statevector,cycle,False,8,10,4096,3,4096,2.26573125,False,True,False
statevector,cycle,True,8,25,256,3,4096,0.9062925,False,False,False
statevector,cycle,False,8,25,512,3,4096,0.9062925,False,False,False
statevector,cycle,False,8,25,1024,3,4096,0.9062925,False,False,False
statevector,cycle,False,8,25,2048,3,4096,0.9062925,False,False,False
statevector,cycle,False,8,25,4096,3,4096,0.9062925,False,False,False
statevector,cycle,True,8,50,256,3,4096,0.45314625,False,False,False
statevector,cycle,False,8,50,512,3,4096,0.45314625,False,False,False
statevector,cycle,False,8,50,1024,3,4096,0.45314625,False,False,False
statevector,cycle,False,8,50,2048,3,4096,0.45314625,False,False,False
statevector,cycle,False,8,50,4096,3,4096,0.45314625,False,False,False
statevector,cycle,True,8,100,256,3,4096,0.226573125,False,False,False
statevector,cycle,False,8,100,512,3,4096,0.226573125,False,False,False
statevector,cycle,False,8,100,1024,3,4096,0.226573125,False,False,False
statevector,cycle,False,8,100,2048,3,4096,0.226573125,False,False,False
statevector,cycle,False,8,100,4096,3,4096,0.226573125,False,False,False
statevector,cycle,True,8,250,256,3,4096,0.09062925,False,False,False
statevector,cycle,False,8,250,512,3,4096,0.09062925,False,False,False
statevector,cycle,False,8,250,1024,3,4096,0.09062925,False,False,False
statevector,cycle,False,8,250,2048,3,4096,0.09062925,False,False,False
statevector,cycle,False,8,250,4096,3,4096,0.09062925,False,False,False
statevector,cycle,True,8,500,256,3,4096,0.045314625,False,False,False
statevector,cycle,False,8,500,512,3,4096,0.045314625,False,False,False
statevector,cycle,False,8,500,1024,3,4096,0.045314625,False,False,False
statevector,cycle,False,8,500,2048,3,4096,0.045314625,False,False,False
statevector,cycle,False,8,500,4096,3,4096,0.045314625,False,False,False
statevector,cycle,True,10,10,256,1,4096,2.4473728,False,True,False
statevector,cycle,False,10,10,512,1,4096,2.4473728,False,True,False
statevector,cycle,False,10,10,1024,1,4096,2.4473728,False,True,False
statevector,cycle,False,10,10,2048,1,4096,2.4473728,False,True,False
statevector,cycle,False,10,10,4096,1,4096,2.4473728,False,True,False
statevector,cycle,True,10,25,256,1,4096,0.97894912,False,False,False
statevector,cycle,False,10,25,512,1,4096,0.97894912,False,False,False
statevector,cycle,False,10,25,1024,1,4096,0.97894912,False,False,False
statevector,cycle,False,10,25,2048,1,4096,0.97894912,False,False,False
statevector,cycle,False,10,25,4096,1,4096,0.97894912,False,False,False
statevector,cycle,True,10,50,256,1,4096,0.48947456,False,False,False
statevector,cycle,False,10,50,512,1,4096,0.48947456,False,False,False
statevector,cycle,False,10,50,1024,1,4096,0.48947456,False,False,False
statevector,cycle,False,10,50,2048,1,4096,0.48947456,False,False,False
statevector,cycle,False,10,50,4096,1,4096,0.48947456,False,False,False
statevector,cycle,True,10,100,256,1,4096,0.24473728,False,False,False
statevector,cycle,False,10,100,512,1,4096,0.24473728,False,False,False
statevector,cycle,False,10,100,1024,1,4096,0.24473728,False,False,False
statevector,cycle,False,10,100,2048,1,4096,0.24473728,False,False,False
statevector,cycle,False,10,100,4096,1,4096,0.24473728,False,False,False
statevector,cycle,True,10,250,256,1,4096,0.097894912,False,False,False
statevector,cycle,False,10,250,512,1,4096,0.097894912,False,False,False
statevector,cycle,False,10,250,1024,1,4096,0.097894912,False,False,False
statevector,cycle,False,10,250,2048,1,4096,0.097894912,False,False,False
